playerID,Batting_G,Batting_AB,Batting_H,Batting_HR,Batting_RBI,Batting_SB,Fielding_G,Fielding_GS,Fielding_InnOuts,Fielding_A,Fielding_PO,Fielding_CS,Fielding_SB,Fielding_ZR,pitchWin,pitchLoss,EarnedRunAvg,PitchingGames,PitchGamesStarted,PitchSaves,PitchRuns,OppBatAvg,Class
aardsda01,331.0000,4.0000,0.0000,0.0000,0.0000,0.0000,331.0000,0.0000,1011.0000,29.0000,11.0000,NULL,NULL,NULL,16.0000,18.0000,5.1944444444444455,331.0000,0.0000,69.0000,169.0000,0.2574444444444444,False
aasedo01,448.0000,5.0000,0.0000,0.0000,0.0000,0.0000,448.0000,91.0000,3328.0000,135.0000,67.0000,NULL,NULL,NULL,66.0000,60.0000,3.4930769230769227,448.0000,91.0000,82.0000,503.0000,0.25084615384615394,False
abadfe01,384.0000,9.0000,1.0000,0.0000,0.0000,0.0000,384.0000,6.0000,992.0000,37.0000,7.0000,NULL,NULL,NULL,8.0000,29.0000,4.0809999999999995,384.0000,6.0000,2.0000,143.0000,0.24470000000000006,False
abbeybe01,79.0000,225.0000,38.0000,0.0000,17.0000,3.0000,79.0000,NULL,1704.0000,134.0000,17.0000,NULL,NULL,NULL,22.0000,40.0000,4.678333333333334,79.0000,65.0000,1.0000,442.0000,NULL,False
abbeych01,452.0000,1756.0000,493.0000,19.0000,280.0000,93.0000,452.0000,NULL,11781.0000,92.0000,920.0000,NULL,NULL,NULL,0.0000,0.0000,4.5,1.0000,0.0000,0.0000,3.0000,NULL,False
abbotda01,3.0000,7.0000,1.0000,0.0000,1.0000,1.0000,3.0000,NULL,39.0000,4.0000,3.0000,NULL,NULL,NULL,0.0000,2.0000,6.23,3.0000,1.0000,1.0000,14.0000,NULL,False
abbotgl01,248.0000,0.0000,0.0000,0.0000,0.0000,0.0000,248.0000,206.0000,3858.0000,187.0000,113.0000,NULL,NULL,NULL,62.0000,83.0000,4.331666666666667,248.0000,206.0000,0.0000,707.0000,0.2785833333333333,False
abbotji01,263.0000,21.0000,2.0000,0.0000,3.0000,0.0000,263.0000,254.0000,5022.0000,300.0000,72.0000,NULL,NULL,NULL,87.0000,108.0000,4.496363636363636,263.0000,254.0000,0.0000,880.0000,0.2803636363636364,True
abbotky01,57.0000,31.0000,3.0000,0.0000,2.0000,0.0000,57.0000,22.0000,556.0000,25.0000,6.0000,NULL,NULL,NULL,4.0000,17.0000,8.4425,57.0000,22.0000,0.0000,112.0000,0.33775,False
abbotpa01,162.0000,20.0000,5.0000,0.0000,2.0000,0.0000,162.0000,112.0000,2162.0000,76.0000,61.0000,NULL,NULL,NULL,43.0000,37.0000,5.511666666666667,162.0000,112.0000,0.0000,421.0000,0.2615,False
aberal01,168.0000,100.0000,14.0000,0.0000,6.0000,0.0000,168.0000,19.0000,924.0000,79.0000,23.0000,NULL,NULL,NULL,24.0000,25.0000,5.44375,168.0000,30.0000,14.0000,205.0000,0.27,False
abernbi01,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,NULL,NULL,0.0000,0.0000,NULL,NULL,NULL,0.0000,0.0000,13.5,1.0000,0.0000,1.0000,3.0000,0.44,False
abernte01,7.0000,5.0000,1.0000,0.0000,0.0000,0.0000,7.0000,NULL,NULL,4.0000,3.0000,NULL,NULL,NULL,0.0000,3.0000,8.673333333333334,7.0000,2.0000,0.0000,26.0000,0.32666666666666666,False
abernte02,681.0000,181.0000,25.0000,0.0000,9.0000,0.0000,681.0000,34.0000,3438.0000,304.0000,92.0000,NULL,NULL,NULL,63.0000,69.0000,3.9652941176470593,681.0000,34.0000,148.0000,513.0000,0.24505882352941177,False
abernwo01,16.0000,8.0000,0.0000,0.0000,0.0000,0.0000,16.0000,NULL,NULL,6.0000,1.0000,NULL,NULL,NULL,1.0000,1.0000,6.1899999999999995,16.0000,1.0000,1.0000,19.0000,0.315,False
ablesha01,14.0000,26.0000,0.0000,0.0000,0.0000,1.0000,14.0000,6.0000,183.0000,12.0000,1.0000,NULL,NULL,NULL,1.0000,5.0000,5.253333333333333,14.0000,8.0000,0.0000,51.0000,0.33,False
abramge01,3.0000,1.0000,1.0000,0.0000,0.0000,0.0000,3.0000,NULL,NULL,1.0000,0.0000,NULL,NULL,NULL,0.0000,0.0000,9.64,3.0000,0.0000,0.0000,5.0000,0.5,False
abregjo01,6.0000,9.0000,0.0000,0.0000,1.0000,0.0000,6.0000,5.0000,72.0000,6.0000,1.0000,NULL,NULL,NULL,1.0000,1.0000,6.38,6.0000,5.0000,0.0000,18.0000,0.352,False
abreubr01,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,26.0000,2.0000,2.0000,NULL,NULL,NULL,0.0000,0.0000,1.04,7.0000,0.0000,0.0000,1.0000,0.138,False
abreuju01,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0000,0.0000,20.0000,0.0000,1.0000,NULL,NULL,NULL,0.0000,0.0000,2.7,7.0000,0.0000,0.0000,2.0000,0.231,False
abreuwi01,38.0000,2.0000,0.0000,0.0000,0.0000,0.0000,38.0000,0.0000,133.0000,2.0000,3.0000,NULL,NULL,NULL,0.0000,1.0000,10.412500000000001,38.0000,0.0000,0.0000,39.0000,0.33199999999999996,False
accarje01,262.0000,7.0000,1.0000,0.0000,0.0000,0.0000,262.0000,0.0000,854.0000,35.0000,13.0000,NULL,NULL,NULL,10.0000,20.0000,5.348999999999999,262.0000,0.0000,38.0000,143.0000,0.30039999999999994,False
aceveal01,204.0000,2.0000,0.0000,0.0000,0.0000,0.0000,204.0000,15.0000,1141.0000,38.0000,24.0000,NULL,NULL,NULL,31.0000,16.0000,4.041428571428571,204.0000,15.0000,29.0000,172.0000,0.2412857142857143,False
acevejo01,104.0000,101.0000,8.0000,0.0000,4.0000,0.0000,104.0000,59.0000,1105.0000,39.0000,19.0000,NULL,NULL,NULL,18.0000,25.0000,5.55,104.0000,59.0000,1.0000,246.0000,0.272,False
aceveju01,367.0000,65.0000,6.0000,0.0000,0.0000,0.0000,367.0000,34.0000,1710.0000,68.0000,42.0000,NULL,NULL,NULL,28.0000,40.0000,4.508,367.0000,34.0000,53.0000,316.0000,0.2833,False
